Issue,South.et.al...2019,Kromdijk.et.al...2016,Yoon.et.al...2020,De.Souza.et.al...2022,Wei.et.al...2022,Wei.et.al...2022.1,Ambavaram.et.al...2014,Song.et.al...2023,Chen.et.al...2022,Chen.et.al...2022.1,Zhang.et.al...2022,Yu.et.al...2021,Yu.et.al...2021.1,Ribeiro.et.al...2020,Wu.et.al...2023,Ashikari.et.al...2005,Song.et.al...2007,Li.et.al...2023,Miura.et.al...2010,Li.et.al...2018,Li.et.al...2018.1,Wang.et.al...2008,Xue.et.al...2008,Wang.et.al...2022
Percent increase language,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4
Tested elite germplasm,3,3,2,4,4,4,4,4,4,4,4,2,2,3,4,4,2,2,4,2,4,2,2,4
Backcrossed edits,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
Tested wild type,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,4
Tested empty vector,4,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,3
Tested in field,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4
Individual replication (>=20),3,3,3,3,4,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,4
Plot replication (p >= 3),3,4,3,4,4,4,1,3,4,4,4,2,4,4,4,3,2,4,1,2,2,4,2,4
Enough site year combinations (>=3),3,3,3,3,4,3,1,3,4,3,3,3,3,3,3,3,2,4,2,2,2,2,2,3
Measured plot yield,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,3,3,4,3,3,4,3,3,4
Normal sowing practices,4,4,4,4,4,4,1,4,2,2,4,2,2,4,2,2,2,2,1,2,2,2,2,4
Randomized plot designs,4,4,2,4,4,2,1,2,4,2,4,2,2,4,2,2,2,4,1,2,2,2,2,4
Corrected for field effects,4,4,2,4,3,3,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
Standard planting density,4,4,0,3,0,3,1,4,4,0,3,0,3,3,0,2,2,0,1,0,2,2,0,3
Avoided edge effects,3,3,2,3,4,2,1,2,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Mechanically harvested,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2
Measured relevant yield type,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Controlled for moisture,3,3,4,3,3,3,3,2,2,2,4,3,2,4,2,2,2,2,2,2,2,2,2,2
